Open,High,Low
54.279999,55.0,54.060001
54.599998,54.939999,53.91
53.889999,54.389999,53.779999
54.049999,54.619999,53.939999
54.389999,54.98,54.25
54.790001,54.959999,54.200001
54.75,55.220001,54.619999
54.75,55.439999,53.880001
53.869999,54.41,53.709999
54.169998,54.330002,53.82
53.82,54.639999,53.580002
54.700001,55.27,53.990002
54.75,55.779999,54.509998
55.779999,55.779999,54.849998
54.540001,55.830002,54.540001
55.709999,55.849998,54.700001
54.619999,54.919998,52.990002
53.599998,54.32,53.150002
52.970001,54.09,52.900002
52.830002,53.09,51.709999
52.77,53.790001,52.139999
53.619999,54.389999,53.23
53.73,54.68,52.709999
52.98,53.23,52.200001
52.119999,53.02,52.029999
52.59,53.02,52.110001
53.119999,54.349998,52.57
53.98,53.98,52.880001
52.560001,52.790001,52.060001
52.509998,52.990002,52.389999
52.75,53.509998,52.73
53.439999,53.869999,53.439999
53.360001,54.369999,52.759998
52.529999,54.080002,52.529999
53.16,53.360001,51.950001
52.779999,53.599998,52.779999
53.540001,53.93,53.240002
53.700001,53.759998,53.209999
53.389999,53.540001,52.650002
52.720001,55.41,52.720001
55.639999,55.639999,53.529999
52.869999,52.869999,51.169998
53.709999,55.68,53.57
54.98,55.18,53.630001
55.029999,55.279999,52.799999
53.380001,54.880001,53.380001
54.34,54.880001,53.610001
53.48,53.48,52.099998
52.41,52.889999,50.209999
51.25,52.0,50.669998
51.900002,52.810001,51.419998
52.349998,52.84,51.07
51.630001,52.259998,51.310001
51.82,52.240002,50.599998
51.009998,51.16,50.610001
51.790001,53.110001,51.610001
52.490002,53.049999,52.049999
52.869999,53.130001,52.080002
52.68,52.700001,52.110001
52.939999,52.939999,52.34
52.5,53.200001,52.439999
53.169998,53.619999,52.689999
53.509998,54.049999,52.889999
54.0,54.0,53.02
54.220001,55.290001,53.93
54.529999,55.099998,53.310001
53.459999,55.150002,53.400002
55.02,56.009998,55.02
55.860001,56.099998,55.560001
55.34,55.720001,54.549999
54.849998,55.549999,54.73
55.09,55.240002,54.330002
54.93,55.290001,54.23
55.220001,55.599998,54.880001
55.59,55.98,55.43
55.509998,55.990002,55.400002
55.59,56.41,55.450001
56.25,56.68,55.66
56.669998,56.669998,55.779999
56.52,57.029999,56.060001
57.34,57.709999,56.580002
57.0,57.0,56.25
56.32,56.509998,55.48
56.119999,56.119999,54.169998
54.52,54.91,53.98
54.91,55.389999,54.23
53.880001,55.16,53.84
54.560001,54.759998,52.560001
54.529999,55.130001,53.869999
54.310001,57.060001,54.189999
56.0,56.049999,54.779999
54.880001,55.099998,53.689999
53.400002,54.41,53.130001
54.139999,54.5,53.360001
53.619999,54.419998,53.439999
53.549999,54.779999,53.369999
55.209999,55.540001,54.84
55.650002,56.23,55.490002
56.349998,56.950001,55.849998
56.130001,56.130001,54.0
53.900002,55.549999,53.900002
55.18,56.849998,55.150002
56.970001,57.610001,56.540001
56.830002,57.580002,56.59
57.139999,57.68,56.959999
57.759998,58.099998,57.310001
58.32,59.509998,58.02
59.950001,60.290001,58.110001
59.259998,59.259998,57.689999
58.869999,58.869999,57.34
57.889999,57.970001,56.970001
58.049999,58.200001,56.549999
57.029999,57.889999,55.950001
57.720001,58.029999,56.59
56.759998,56.93,56.009998
55.450001,56.200001,55.040001
55.16,55.57,54.599998
55.68,56.650002,55.34
56.360001,56.360001,55.110001
54.759998,55.860001,54.029999
56.25,56.900002,55.07
55.98,57.25,55.259998
56.470001,57.189999,56.34
56.779999,57.5,56.66
57.16,58.43,56.759998
58.290001,59.509998,57.509998
59.18,59.709999,56.43
56.720001,57.009998,55.830002
55.23,56.23,54.639999
